coverage_gap_pct,true_coverage,universal_sr_ratio_adj,n_cells
-2,97,0.962050469883893,1
-1.59999999999999,96.6,0.97997968019576,1
-1.39999999999999,96.4,0.97873277190555,2
-1.2,96.2,0.958276143493021,3
-1,96,0.954158076758811,4
-0.799999999999997,95.8,0.965286633313995,3
-0.599999999999994,95.6,0.944712745925398,7
-0.399999999999991,95.4,0.937744039970578,2
-0.199999999999989,95.2,0.961503689457253,4
0,95,0.9551294111438,9
0.200000000000003,94.8,0.944707495277217,7
0.400000000000006,94.6,0.958127155650738,4
0.800000000000011,94.2,0.913421413061798,2
1,94,0.945059247063457,9
1.2,93.8,0.920165771879648,8
1.39999999999999,93.6,0.90417251832832,4
1.59999999999999,93.4,0.871997045565903,8
1.8,93.2,0.875448094930538,5
2,93,0.867035209986879,3
2.19999999999999,92.8,0.889367357197408,7
2.39999999999999,92.6,0.873662706051881,8
2.59999999999999,92.4,0.869800175099677,6
2.8,92.2,0.882780268695101,5
3,92,0.845272796897756,5
3.2,91.8,0.844260199555173,6
3.39999999999999,91.6,0.818033834040213,6
3.59999999999999,91.4,0.840871363968634,4
3.8,91.2,0.827684920657984,4
4,91,0.824916484137351,7
4.2,90.8,0.815620989105935,2
4.39999999999999,90.6,0.828065322256624,7
4.59999999999999,90.4,0.823014730695136,6
4.8,90.2,0.798330559149468,9
5,90,0.783113323056733,6
5.2,89.8,0.801900447378546,6
5.39999999999999,89.6,0.783216346702648,2
5.59999999999999,89.4,0.793287529527502,5
5.8,89.2,0.791770588049972,6
6,89,0.766780471837498,10
6.2,88.8,0.773240146563872,6
6.40000000000001,88.6,0.767275245862273,7
6.59999999999999,88.4,0.768833427257952,7
6.8,88.2,0.792555294577606,2
7,88,0.765294266836363,7
7.2,87.8,0.768534568595062,7
7.40000000000001,87.6,0.771194113582476,8
7.59999999999999,87.4,0.734420948263669,5
7.8,87.2,0.76095647119866,4
8,87,0.7506344787025,8
8.2,86.8,0.746609996483488,7
8.40000000000001,86.6,0.756195276654816,6
8.59999999999999,86.4,0.74676953018111,3
8.8,86.2,0.74009609166524,5
9,86,0.717298485273282,8
9.2,85.8,0.725014414171755,4
9.40000000000001,85.6,0.7191689747836,4
9.60000000000001,85.4,0.705669002879921,1
9.8,85.2,0.711233436130424,5
10,85,0.677650217219969,5
10.2,84.8,0.702606608008759,4
10.4,84.6,0.687989953510656,6
10.6,84.4,0.677545572731286,5
10.8,84.2,0.662298676789675,2
11,84,0.671728029188252,6
11.2,83.8,0.710120056531849,3
11.4,83.6,0.675936887017788,5
11.6,83.4,0.658477848520115,4
11.8,83.2,0.644492532393366,3
12,83,0.676326943774647,4
12.2,82.8,0.662583748347027,8
12.4,82.6,0.684861939397163,4
12.6,82.4,0.637665125692851,6
12.8,82.2,0.665299894738853,6
13,82,0.638636725700879,5
13.2,81.8,0.654095492126593,4
13.4,81.6,0.647650988258602,7
13.6,81.4,0.654997080785927,8
13.8,81.2,0.644384804277251,11
14,81,0.639490864408057,10
14.2,80.8,0.633945719856729,7
14.4,80.6,0.636434203220285,12
14.6,80.4,0.631160558910618,5
14.8,80.2,0.638190655676042,4
15,80,0.620258975600332,9
15.2,79.8,0.611202952337668,4
15.4,79.6,0.610237523508363,5
15.6,79.4,0.601407679198348,7
15.8,79.2,0.630217697470456,7
16,79,0.602707580757832,7
16.2,78.8,0.599318937319093,5
16.4,78.6,0.59469414414605,7
16.6,78.4,0.613424389264755,5
16.8,78.2,0.587387715588426,4
17,78,0.585217343793201,2
17.2,77.8,0.586987181585928,3
17.4,77.6,0.593126767712393,4
17.6,77.4,0.584355935884996,4
17.8,77.2,0.601526066577824,4
18,77,0.597318631686812,6
18.2,76.8,0.589360283663192,5
18.4,76.6,0.596975853075471,4
18.6,76.4,0.583208701547592,10
18.8,76.2,0.57604836119202,4
19,76,0.590647438196615,5
19.2,75.8,0.590083369903063,6
19.4,75.6,0.572764841092277,3
19.6,75.4,0.588468285854609,2
19.8,75.2,0.590573248587234,2
20.2,74.8,0.58816794301475,6
20.4,74.6,0.579333646417745,1
20.6,74.4,0.600690546128958,1
20.8,74.2,0.587062394954563,3
21,74,0.591946413358797,3
21.2,73.8,0.570770726994021,1
21.6,73.4,0.598399500156428,1
21.8,73.2,0.581793591521804,1
22.8,72.2,0.569787324436803,1
23,72,0.579694670968527,1
